uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.0	0.406	정말	[]
1	1	2	AH0001	0.466	1.298	어마어마하네요.	[]
2	2	1	AH0002	1.298	1.499	네	[]
2	2	2	AH0002	1.58	2.405	그렇습니다.	[]
3	3	1	AH0001	2.404	2.785	상위	[]
3	3	2	AH0001	2.825	2.925	일	[]
3	3	3	AH0001	3.045	3.707	퍼센트가	[]
3	3	4	AH0001	4.168	4.729	전세계	[]
3	3	5	AH0001	4.889	4.929	돈의	[]
3	3	6	AH0001	4.969	5.19	오십	[]
3	3	7	AH0001	5.29	5.43	프로	[]
3	3	8	AH0001	5.45	5.711	이상을	[]
3	3	9	AH0001	5.871	6.312	갖고	[]
3	3	10	AH0001	7.334	7.434	있다.	[]
4	4	1	AH0002	7.434	7.774	지금	[]
4	4	2	AH0002	7.875	8.215	소득	[]
4	4	3	AH0002	8.335	8.736	불평등	[]
4	4	4	AH0002	8.756	9.116	문제가	[]
4	4	5	AH0002	9.156	9.216	이제	[]
4	4	6	AH0002	9.276	9.677	상당히	[]
4	4	7	AH0002	9.857	10.418	심각해졌기	[]
4	4	8	AH0002	10.518	10.638	때문에	[1]
4	4	9	AH0002	10.798	11.019	이와	[]
4	4	10	AH0002	11.119	11.58	관련된	[]
4	4	11	AH0002	11.68	12.28	논의들이	[]
4	4	12	AH0002	12.781	13.021	어	[]
4	4	13	AH0002	13.122	13.402	한참	[]
4	4	14	AH0002	13.582	13.863	일어나고	[]
4	4	15	AH0002	13.923	14.463	있습니다	[]
4	4	16	AH0002	14.483	14.864	그래서	[]
4	4	17	AH0002	14.884	15.244	어떤	[]
4	4	18	AH0002	15.365	15.525	이유	[]
4	4	19	AH0002	15.685	16.025	때문에	[]
4	4	20	AH0002	16.065	16.446	이러한	[]
4	4	21	AH0002	16.546	17.207	소득불평등이	[]
4	4	22	AH0002	17.307	17.848	생겨나에	[]
4	4	23	AH0002	17.868	18.148	대한	[]
4	4	24	AH0002	18.268	18.629	논의인데요.	[]
4	5	1	AH0002	19.32	20.183	대체적으로	[]
4	5	2	AH0002	20.383	20.804	크게는	[]
4	5	3	AH0002	20.824	20.844	한	[]
