uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.5	1.182	어	[]
1	1	2	AH0001	1.282	1.322	이	[]
1	1	3	AH0001	1.382	2.044	정도의	[]
1	1	4	AH0001	3.407	3.527	그	[]
1	1	5	AH0001	3.607	4.109	하모니카	[]
1	1	6	AH0001	4.129	4.71	연주곡이면	[]
1	1	7	AH0001	5.071	5.392	듣고서	[]
1	1	8	AH0001	5.472	5.712	어우	[]
1	1	9	AH0001	5.813	5.973	너무	[]
1	1	10	AH0001	6.033	6.595	좋다	[]
1	1	11	AH0001	6.675	6.955	이렇게	[]
1	1	12	AH0001	7.296	7.497	말씀	[]
1	1	13	AH0001	7.517	7.537	안	[]
1	1	14	AH0001	7.637	7.858	하실	[]
1	1	15	AH0001	7.958	8.238	분들이	[]
1	1	16	AH0001	8.299	8.499	어디	[]
1	1	17	AH0001	8.519	8.9	있겠어요	[]
1	1	18	AH0001	8.96	9.321	그렇죠?	[]
1	2	1	AH0001	9.323	10.287	@전화번호3	[]
1	2	2	AH0001	10.347	10.708	님께서	[]
1	2	3	AH0001	10.809	10.989	아우	[]
1	2	4	AH0001	11.05	11.09	이	[]
1	2	5	AH0001	11.17	11.351	노래	[]
1	2	6	AH0001	11.431	11.833	들으니까	[]
1	2	7	AH0001	11.933	12.535	@이름733씨	[]
1	2	8	AH0001	12.596	12.776	노래	[]
1	2	9	AH0001	12.857	13.057	듣고	[]
1	2	10	AH0001	13.118	13.961	싶네요.	[]
2	3	1	AH0002	15.451	15.651	안녕하십니까.	[1]
2	3	2	AH0002	16.052	16.172	아	[]
2	3	3	AH0002	16.292	16.352	저	[]
2	3	4	AH0002	16.452	17.373	모니터에	[2]
2	3	5	AH0002	17.413	17.613	일산	[]
2	3	6	AH0002	17.713	18.414	호수공원을	[]
2	3	7	AH0002	18.554	18.694	이	[]
2	3	8	AH0002	18.774	19.154	회사	[]
2	3	9	AH0002	19.294	19.695	꼭대기에서	[]
2	3	10	AH0002	19.755	19.875	보는	[]
2	3	11	AH0002	19.975	20.375	씨씨티브이가	[]
2	3	12	AH0002	20.416	20.996	나와가지구	[3]
2	3	13	AH0002	21.356	21.517	그거	[]
2	3	14	AH0002	21.577	21.697	보고	[]
2	3	15	AH0002	21.737	22.217	있다가	[]
2	3	16	AH0002	22.537	22.618	깜짝	[]
2	3	17	AH0002	22.678	23.158	놀랐어요.	[]
3	4	1	AH0001	23.158	23.4	사례들	[]
3	4	2	AH0001	23.44	23.601	리신	[]
3	4	3	AH0001	23.682	23.762	줄	[]
3	4	4	AH0001	23.823	24.286	알았어요	[]
3	4	5	AH0001	24.991	25.273	느낌이	[]
3	4	6	AH0001	25.293	25.394	팍	[]
3	4	7	AH0001	25.596	25.918	듭니다.	[]
4	5	1	AH0002	26.107	26.472	아.	[4]
4	5	2	AH0002	26.492	26.613	이제	[]
4	5	3	AH0002	26.695	26.836	바로	[]
4	5	4	AH0002	26.897	26.998	전	[]
4	5	5	AH0002	27.079	27.748	퇴근해요.	[]
5	6	1	AH0001	27.946	28.11	아	[]
5	6	2	AH0001	28.234	28.439	그래요	[]
5	6	3	AH0001	28.501	28.624	오늘?	[]
6	7	1	AH0002	28.83	28.95	바로	[]
6	7	2	AH0002	28.97	29.03	옆	[]
6	7	3	AH0002	29.13	29.45	입니다	[]
6	7	4	AH0002	29.571	29.711	오늘	[]
6	7	5	AH0002	29.851	30.031	뭐	[]
6	7	6	AH0002	30.451	30.812	경기도	[]
6	7	7	AH0002	30.832	31.372	어렵고	[]
6	7	8	AH0002	31.512	31.972	경기가	[]
6	7	9	AH0002	32.032	32.353	경기할	[]
6	7	10	AH0002	32.433	32.873	지경인데	[]
6	7	11	AH0002	32.973	33.073	참	[]
6	7	12	AH0002	33.193	33.354	벌어야	[]
6	7	13	AH0002	33.474	33.814	되는데	[]
6	7	14	AH0002	33.934	34.014	참	[]
6	7	15	AH0002	34.094	34.294	일찍	[]
6	7	16	AH0002	34.394	34.755	퇴근하고	[]
6	7	17	AH0002	34.795	35.235	말이죠.	[]
6	8	1	AH0002	35.34	35.961	그래서	[]
6	8	2	AH0002	35.981	36.181	인제	[]
6	8	3	AH0002	36.281	36.701	일산으로	[]
6	8	4	AH0002	36.742	36.922	인제	[]
6	8	5	AH0002	36.962	37.342	@상호명91가	[]
6	8	6	AH0002	37.382	37.502	이사	[]
6	8	7	AH0002	37.542	37.643	온	[]
6	8	8	AH0002	37.663	37.803	지가	[]
6	8	9	AH0002	37.823	38.003	이제	[]
6	8	10	AH0002	38.083	38.203	좀	[]
6	8	11	AH0002	38.303	38.403	한	[]
6	8	12	AH0002	38.443	38.744	삼	[]
6	8	13	AH0002	38.764	38.784	주	[]
6	8	14	AH0002	38.864	39.064	됐지	[]
6	8	15	AH0002	39.084	39.705	않습니까.	[5]
6	8	16	AH0002	39.765	39.825	그래서	[]
6	9	1	AH0002	40.389	40.771	앞으로는	[]
6	9	2	AH0002	40.831	41.172	인제	[]
6	9	3	AH0002	41.192	41.213	그	[]
6	9	4	AH0002	41.494	41.715	목요일	[]
6	9	5	AH0002	41.775	42.117	저녁에	[]
6	9	6	AH0002	42.197	42.679	하고는	[6]
6	9	7	AH0002	42.94	43.201	일주일에	[]
6	9	8	AH0002	43.221	43.302	한	[]
6	9	9	AH0002	43.362	43.523	번	[]
6	9	10	AH0002	43.543	43.744	정도는	[]
6	9	11	AH0002	43.844	43.965	좀	[]
6	9	12	AH0002	43.985	44.105	일찍	[]
6	9	13	AH0002	44.186	44.386	들어가서	[]
