uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.5	1.928	네	[]
1	1	2	AH0001	2.129	2.692	뮤지션들의	[]
1	1	3	AH0001	2.753	3.054	뮤지션	[]
1	1	4	AH0001	3.115	3.396	만나는	[]
1	1	5	AH0001	3.497	4.04	시간입니다.	[]
1	2	1	AH0001	4.041	4.804	뮤직라이브러리	[]
1	2	2	AH0001	5.065	5.326	오늘도	[]
1	2	3	AH0001	5.407	5.949	싱어송라이터	[]
1	2	4	AH0001	6.009	6.311	@이름195	[]
1	2	5	AH0001	6.411	6.491	씨와	[]
1	2	6	AH0001	6.532	6.773	함께	[]
1	2	7	AH0001	6.793	7.516	합니다	[]
1	2	8	AH0001	7.536	7.656	안녕하세요.	[]
2	3	1	AH0002	7.798	8.0	안녕하세요	[]
2	3	2	AH0002	8.02	8.666	반갑습니다.	[]
3	4	1	AH0001	8.666	9.705	@이름195	[]
3	4	2	AH0001	9.827	9.848	씨	[]
4	5	1	AH0002	9.97	9.991	네.	[]
5	6	1	AH0001	10.383	10.584	지금	[]
5	6	2	AH0001	10.665	11.087	목소리를	[]
5	6	3	AH0001	11.268	11.329	제	[]
5	6	4	AH0001	11.389	11.671	목소리를	[]
5	6	5	AH0001	11.771	11.973	들으면	[]
5	6	6	AH0001	12.013	12.536	아시겠지만	[]
6	7	1	AH0002	12.717	12.959	너무	[]
6	7	2	AH0002	12.979	13.564	아파보여요.	[]
7	8	1	AH0001	13.564	13.847	뭐	[]
7	8	2	AH0001	13.908	14.272	아프지는	[]
7	8	3	AH0001	14.292	14.778	않습니다.	[]
7	9	1	AH0001	15.576	16.057	이	[]
7	9	2	AH0001	16.077	16.157	뭐	[]
7	9	3	AH0001	16.337	16.557	코	[]
7	9	4	AH0001	16.958	17.499	감기와	[1]
7	9	5	AH0001	18.22	18.74	혹시라도	[]
7	9	6	AH0001	19.461	20.062	방송에서	[]
7	9	7	AH0001	20.543	20.683	이런	[]
7	9	8	AH0001	20.723	20.743	뭐	[]
7	9	9	AH0001	20.903	21.985	재채기라든지,	[2]
7	9	10	AH0001	22.385	22.526	그런	[]
7	9	11	AH0001	22.566	22.906	것들로	[]
7	9	12	AH0001	22.966	23.147	많은	[]
7	9	13	AH0001	23.207	23.687	분들에게	[]
7	9	14	AH0001	24.508	25.37	이렇게	[]
7	9	15	AH0001	25.99	26.351	불편함을	[]
7	9	16	AH0001	26.431	26.731	드릴까	[]
7	9	17	AH0001	26.792	27.192	봐,	[3]
7	9	18	AH0001	27.372	27.753	조심하고	[]
7	9	19	AH0001	27.793	27.913	있는	[]
7	9	20	AH0001	27.953	28.374	정도인데.	[]
7	10	1	AH0001	29.424	29.666	그래도	[]
7	10	2	AH0001	29.747	30.029	다행인	[]
7	10	3	AH0001	30.049	30.069	게	[]
7	10	4	AH0001	30.13	30.392	오늘	[]
7	10	5	AH0001	30.976	31.178	뮤직	[]
7	10	6	AH0001	31.259	31.823	라이브러리여서	[]
7	10	7	AH0001	31.924	32.428	다행이에요.	[]
8	11	1	AH0002	32.428	32.448	어	[]
8	12	1	AH0002	34.361	35.185	다행인지	[]
8	12	2	AH0002	35.266	35.507	다행이	[]
8	12	3	AH0002	35.547	35.849	아닐지	[]
9	13	1	AH0001	35.929	36.091	다행이	[]
9	13	2	AH0001	36.152	36.335	아닌	[]
9	13	3	AH0001	36.355	36.375	것	[]
9	13	4	AH0001	36.416	36.842	같습니다.	[]
9	14	1	AH0001	36.842	37.969	왜냐면	[]
9	14	2	AH0001	38.814	39.015	오늘	[]
9	14	3	AH0001	39.056	39.196	많이	[]
9	14	4	AH0001	39.257	39.7	도와주셔야	[]
9	14	5	AH0001	39.76	39.941	돼요.	[]
10	15	1	AH0002	40.046	40.067	네.	[]
11	16	1	AH0001	40.733	41.155	@이름195	[]
11	16	2	AH0001	41.355	41.476	씨가	[]
11	16	3	AH0001	41.556	41.918	이야기도	[]
11	16	4	AH0001	41.958	42.139	많이	[]
11	16	5	AH0001	42.179	42.761	해주시구요.	[]
12	17	1	AH0002	42.761	42.921	일	[]
12	17	2	AH0002	43.122	43.222	점	[]
12	17	3	AH0002	43.283	43.343	오	[]
12	17	4	AH0002	43.423	43.483	배	[]
12	17	5	AH0002	43.523	43.764	정도	[]
12	17	6	AH0002	43.844	44.065	더	[]
