uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.5	1.221	또	[]
1	1	2	AH0001	1.501	1.701	같은	[]
1	1	3	AH0001	1.741	2.182	회사에서	[]
1	1	4	AH0001	2.282	3.163	편집부국장과	[]
1	1	5	AH0001	3.223	3.823	논설위원을	[]
1	1	6	AH0001	3.923	4.524	지내시다가	[]
1	1	7	AH0001	5.545	5.985	갑자기	[]
1	1	8	AH0001	6.506	6.706	올해	[]
1	1	9	AH0001	6.866	7.247	초에	[]
1	1	10	AH0001	7.747	8.067	사표를	[]
1	1	11	AH0001	8.127	8.488	던지고	[]
1	1	12	AH0001	8.528	9.008	여행을	[]
1	1	13	AH0001	9.709	10.85	떠났습니다.	[]
1	2	1	AH0001	10.85	11.733	본인들은	[]
1	2	2	AH0001	12.194	12.896	유랑이라고	[]
1	2	3	AH0001	12.916	13.177	그렇게	[]
1	2	4	AH0001	13.257	13.639	말씀을	[]
1	2	5	AH0001	13.699	14.461	하시는데요	[]
1	2	6	AH0001	14.481	15.043	형제가	[]
1	2	7	AH0001	15.143	15.545	같이	[]
1	2	8	AH0001	16.327	17.31	어떠셨어요?	[]
2	3	1	AH0002	17.767	18.007	예.	[]
2	3	2	AH0002	18.648	18.828	한	[]
2	3	3	AH0002	18.969	19.049	그	[]
2	3	4	AH0002	19.109	19.389	삼십	[]
2	3	5	AH0002	19.449	19.549	년	[]
2	3	6	AH0002	19.63	20.11	가까이	[]
2	3	7	AH0002	20.411	20.831	기자로	[]
2	3	8	AH0002	20.931	21.212	살아온	[]
2	3	9	AH0002	21.312	21.853	명패를	[]
2	3	10	AH0002	21.973	22.473	던진다는	[]
2	3	11	AH0002	22.574	22.874	게	[]
2	3	12	AH0002	23.054	23.194	쉬운	[]
2	3	13	AH0002	23.295	23.375	건	[]
2	3	14	AH0002	23.415	24.436	아니었습니다.	[1]
2	3	15	AH0002	25.057	25.397	저희	[]
2	3	16	AH0002	25.518	26.098	형제는	[]
2	3	17	AH0002	26.299	26.659	세상의	[]
2	3	18	AH0002	26.779	27.14	탁류가	[]
2	3	19	AH0002	27.22	28.041	싫었습니다.	[]
2	4	1	AH0002	28.391	29.132	불신과	[]
2	4	2	AH0002	29.212	29.573	반목,	[]
2	4	3	AH0002	30.093	30.674	전양과	[]
2	4	4	AH0002	30.854	31.235	변절,	[]
2	4	5	AH0002	31.836	32.016	그런	[]
2	4	6	AH0002	32.136	32.617	감옥에서	[]
2	4	7	AH0002	32.677	32.757	좀	[]
2	4	8	AH0002	32.877	33.237	탈출을	[]
2	4	9	AH0002	33.278	33.418	하고	[]
2	4	10	AH0002	33.478	34.479	싶었습니다.	[2]
2	4	11	AH0002	34.84	35.08	그래서	[]
2	4	12	AH0002	35.14	35.581	저희도	[]
2	4	13	AH0002	36.021	36.121	어	[]
2	4	14	AH0002	36.262	36.582	사표를	[]
2	4	15	AH0002	36.642	36.942	냈고	[]
2	4	16	AH0002	37.683	38.024	형제로	[]
2	4	17	AH0002	38.104	38.364	태어나	[]
2	4	18	AH0002	38.444	38.605	서로	[]
2	4	19	AH0002	38.685	38.885	먹고	[]
2	4	20	AH0002	38.925	39.145	살기	[]
2	4	21	AH0002	39.205	39.726	바쁘다는	[]
2	4	22	AH0002	39.786	40.027	이유로	[]
2	5	1	AH0002	40.605	41.247	지금껏	[]
2	5	2	AH0002	41.348	41.548	많은	[]
2	5	3	AH0002	41.629	41.95	시간을	[]
2	5	4	AH0002	42.05	42.371	함께	[]
2	5	5	AH0002	42.472	42.692	하지	[]
2	5	6	AH0002	42.753	42.993	못한	[]
2	5	7	AH0002	43.074	43.234	점이	[]
2	5	8	AH0002	43.315	44.72	아쉬워서	[3]
2	5	9	AH0002	44.84	45.322	장기간	[]
2	5	10	AH0002	45.442	45.803	여행을	[]
2	5	11	AH0002	45.823	45.984	하게	[]
2	5	12	AH0002	46.024	46.125	된	[]
2	5	13	AH0002	46.165	47.108	것입니다.	[4]
3	6	1	AH0001	48.117	48.778	@이름1	[]
3	6	2	AH0001	49.198	49.779	@이름2	[]
3	6	3	AH0001	50.179	50.559	형제	[]
3	6	4	AH0001	51.08	51.34	기자	[]
3	6	5	AH0001	52.381	52.721	어	[]
3	6	6	AH0001	53.122	53.322	같은	[]
3	6	7	AH0001	53.382	53.622	회사에	[]
3	6	8	AH0001	53.682	53.902	근무를	[]
3	6	9	AH0001	53.942	54.583	하셨던가요?	[]
4	7	1	AH0002	54.585	54.767	예	[]
4	7	2	AH0002	54.827	55.916	그렇습니다.	[]
5	8	1	AH0001	55.916	56.998	같은	[]
5	8	2	AH0001	57.058	57.659	회사의	[]
5	8	3	AH0001	57.759	58.12	그야말로	[]
5	8	4	AH0001	58.22	58.641	중견	[]
5	8	5	AH0001	60.023	60.725	기자로	[]
5	8	6	AH0001	60.745	60.765	뭐	[]
5	8	7	AH0001	61.326	61.686	중견	[]
5	8	8	AH0001	61.787	62.147	이상의	[]
5	8	9	AH0001	62.488	62.668	그런	[]
5	8	10	AH0001	62.728	63.109	자리에서	[]
5	8	11	AH0001	63.189	63.49	근무를	[]
5	8	12	AH0001	63.55	64.011	하시다가	[]
5	9	1	AH0001	64.832	65.633	두	[]
5	9	2	AH0001	65.753	65.873	분이	[]
5	9	3	AH0001	65.954	66.154	같이	[]
5	9	4	AH0001	66.194	66.414	그렇게	[]
5	9	5	AH0001	66.474	66.755	사표를	[]
5	9	6	AH0001	66.795	67.376	내셨으니	[]
5	9	7	AH0001	68.157	68.217	그	[]
5	9	8	AH0001	68.297	68.517	회사	[]
5	9	9	AH0001	68.557	69.839	입장에서도	[]
5	9	10	AH0001	69.839	70.48	꽤	[]
5	9	11	AH0001	70.48	71.141	충격적이고	[]
5	9	12	AH0001	71.221	71.662	난처하기도	[]
5	9	13	AH0001	71.682	72.523	했겠어요.	[]
6	10	1	AH0002	73.358	73.578	예.	[]
6	10	2	AH0002	73.758	74.119	좀	[]
6	10	3	AH0002	74.139	74.159	뭐	[]
6	10	4	AH0002	74.539	74.98	직급으로	[]
6	10	5	AH0002	75.02	75.24	보면	[]
6	10	6	AH0002	75.901	76.141	저는	[]
6	10	7	AH0002	76.461	77.042	편집국장을	[]
6	10	8	AH0002	77.082	77.362	했고요.	[5]
6	10	9	AH0002	77.542	78.023	동생은	[]
6	10	10	AH0002	78.163	78.984	편집부국장	[6]
6	10	11	AH0002	79.004	79.725	논설위원을	[]
6	10	12	AH0002	79.785	80.285	하다보니까	[7]
6	11	1	AH0002	81.246	81.826	그렇다고	[]
6	11	2	AH0002	81.946	82.007	또	[]
6	11	3	AH0002	82.067	82.387	저희가	[]
6	11	4	AH0002	82.467	82.527	이제	[]
6	11	5	AH0002	82.587	82.767	오십	[]
6	11	6	AH0002	82.867	82.947	대	[]
6	11	7	AH0002	83.027	83.508	초중반에	[]
6	11	8	AH0002	83.548	83.748	있다	[]
6	11	9	AH0002	83.808	84.228	보니까	[8]
6	11	10	AH0002	84.548	84.989	정년이	[]
6	11	11	AH0002	85.089	85.729	간당간당한	[]
6	11	12	AH0002	85.809	85.989	것도	[]
6	11	13	AH0002	86.029	86.309	아니고	[9]
6	11	14	AH0002	86.67	87.21	그래서	[]
6	11	15	AH0002	87.23	87.29	뭐	[]
6	11	16	AH0002	87.39	88.231	주변에서는	[]
6	11	17	AH0002	88.811	88.891	뭐	[]
6	11	18	AH0002	89.131	89.251	격이	[]
6	11	19	AH0002	89.311	89.371	좀	[]
6	11	20	AH0002	89.432	89.732	컸다는	[]
6	11	21	AH0002	89.792	90.052	얘기도	[]
6	11	22	AH0002	90.132	91.533	들렸고요.	[10]
6	11	23	AH0002	91.553	91.573	또	[]
6	11	24	AH0002	91.673	92.233	일부	[]
6	11	25	AH0002	92.614	92.894	상황을	[]
6	11	26	AH0002	92.974	93.054	잘	[]
6	11	27	AH0002	93.134	93.394	모르는	[]
6	11	28	AH0002	93.474	94.255	장삼이사들은	[]
6	12	1	AH0002	94.833	94.993	어	[]
6	12	2	AH0002	95.114	95.274	이를	[]
6	12	3	AH0002	95.374	95.615	두고	[]
6	12	4	AH0002	95.635	95.655	뭐	[]
6	12	5	AH0002	95.695	96.056	형제의	[]
6	12	6	AH0002	96.116	96.457	난이다	[]
6	12	7	AH0002	97.039	97.059	뭐	[]
6	12	8	AH0002	97.099	97.58	이렇게까지	[]
6	12	9	AH0002	97.6	97.781	이야기를	[]
6	12	10	AH0002	97.801	98.121	했다고	[]
6	12	11	AH0002	98.161	98.402	합니다.	[11]
