uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.0	1.082	방	[]
1	1	2	AH0001	1.203	1.563	안에서	[]
1	1	3	AH0001	1.664	2.025	듣는	[]
1	1	4	AH0001	2.165	2.706	고품격	[]
1	1	5	AH0001	2.987	3.969	라이브	[]
1	1	6	AH0001	3.989	4.029	뮤직	[]
1	1	7	AH0001	4.149	4.65	경청	[]
1	1	8	AH0001	4.771	4.991	라이브와	[]
1	1	9	AH0001	5.051	5.512	함께하고	[]
1	1	10	AH0001	5.552	6.274	있습니다.	[]
1	2	1	AH0001	6.274	6.616	오늘은	[]
1	2	2	AH0001	6.797	7.26	가을맞이	[]
1	2	3	AH0001	7.36	7.984	특집으로	[]
1	2	4	AH0001	8.125	8.366	가수	[]
1	2	5	AH0001	8.447	9.151	@이름218씨와	[]
1	2	6	AH0001	9.211	9.593	함께하고	[]
1	2	7	AH0001	9.633	10.016	있는데요.	[]
1	3	1	AH0001	10.237	10.818	@이름218씨	[]
1	3	2	AH0001	11.059	11.4	아까	[]
1	3	3	AH0001	11.52	11.74	저희가	[]
1	3	4	AH0001	11.841	12.262	드린	[]
1	3	5	AH0001	12.683	12.983	질문이	[]
1	3	6	AH0001	13.023	13.264	어떤	[]
1	3	7	AH0001	13.324	14.166	질문이었죠?	[]
2	4	1	AH0002	14.166	14.447	네	[]
2	4	2	AH0002	14.567	15.45	@이름218하면	[]
2	4	3	AH0002	15.55	16.132	생각나는	[]
2	4	4	AH0002	16.252	16.353	한	[]
2	4	5	AH0002	16.493	16.995	단어를	[]
2	4	6	AH0002	17.095	17.516	저희가	[]
2	4	7	AH0002	17.536	18.018	여쭤봤는데요.	[]
2	5	1	AH0002	18.38	19.023	어	[]
2	5	2	AH0002	19.245	19.566	문자	[]
2	5	3	AH0002	19.667	19.868	많이	[]
2	5	4	AH0002	19.888	19.908	온	[]
2	5	5	AH0002	19.948	20.109	것	[]
2	5	6	AH0002	20.21	20.813	같애요.	[]
3	6	1	AH0001	20.812	21.073	네	[]
