bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0001	14.526	15.151	CONTINUER	예.	[2]	[3]	[8]
2	AH0002	22.086	22.371	CONTINUER	예.	[3]	[4]	[15]
3	AH0002	24.448	24.628	CONTINUER	예.	[3]	[5]	[5]
4	AH0002	29.307	29.432	CONTINUER	예.	[3]	[5]	[10]
5	AH0001	35.925	36.24	CONTINUER	네.	[6]	[9]	[4]
6	AH0001	37.545	37.875	CONTINUER	예.	[6]	[9]	[7]
7	AH0001	44.921	45.226	CONTINUER	예.	[6]	[11]	[2]
8	AH0001	47.536	47.881	CONTINUER	예.	[6]	[11]	[6]
9	AH0002	61.7	61.92	CONTINUER	예.	[9]	[14]	[12]
10	AH0001	65.692	66.032	CONTINUER	예.	[10]	[15]	[3]
11	AH0001	73.961	74.491	UNDERSTANDING	아.	[10]	[16]	[5]
12	AH0001	80.295	80.5	CONTINUER	네.	[10]	[17]	[10]
13	AH0001	81.74	82.27	UNDERSTANDING	아.	[10]	[17]	[13]
14	AH0001	83.33	83.89	CONTINUER	음.	[10]	[17]	[16]
15	AH0001	91.273	92.378	AFFIRMATIVE	그쵸. 예.	[12]	[19]	[4]
16	AH0001	93.64	94.255	AFFIRMATIVE	그렇죠.	[12]	[19]	[9]
17	AH0001	99.724	101.319	CONTINUER	예. 예예.	[12]	[20]	[11]
18	AH0001	104.486	104.941	CONTINUER	예.	[12]	[21]	[7]
19	AH0001	107.68	108.215	CONTINUER	네네.	[12]	[22]	[5]
20	AH0002	109.355	109.54	CONTINUER	예.	[13]	[23]	[1]
21	AH0001	110.789	111.239	UNDERSTANDING	아.	[14]	[24]	[3]
22	AH0001	115.439	115.709	CONTINUER	네.	[14]	[24]	[11]
23	AH0001	122.795	123.13	CONTINUER	네.	[14]	[26]	[11]
24	AH0001	128.785	130.31	UNDERSTANDING	아. 예.	[14]	[27]	[7]
25	AH0002	151.574	151.759	CONTINUER	예.	[17]	[30]	[8]
26	AH0002	152.504	153.539	CONTINUER	예. 음.	[17]	[30]	[10]
27	AH0002	154.674	154.864	CONTINUER	음.	[17]	[30]	[15]
28	AH0002	156.279	156.499	CONTINUER	예.	[17]	[30]	[17]
29	AH0002	157.843	158.078	CONTINUER	예.	[17]	[31]	[3]
30	AH0002	163.018	164.193	CONTINUER	예. 예.	[17]	[31]	[12]
31	AH0002	168.446	168.941	CONTINUER	음. 음.	[17]	[32]	[7]
32	AH0001	176.035	176.36	CONTINUER	예.	[18]	[33]	[7]
33	AH0001	181.401	181.616	CONTINUER	네.	[18]	[34]	[9]
34	AH0001	184.141	184.961	CONTINUER	네. 네.	[18]	[34]	[19]
35	AH0001	193.005	194.395	UNDERSTANDING	네. 네.	[18]	[35]	[13]
36	AH0001	198.526	198.711	CONTINUER	음.	[18]	[36]	[9]
37	AH0001	200.967	201.212	CONTINUER	네.	[18]	[37]	[5]
38	AH0001	202.752	202.902	CONTINUER	예.	[18]	[37]	[10]
39	AH0001	203.967	204.372	UNDERSTANDING	음.	[18]	[37]	[12]
40	AH0001	208.972	209.432	CONTINUER	예.	[18]	[38]	[8]
41	AH0001	213.871	214.376	UNDERSTANDING	아.	[18]	[39]	[7]
42	AH0001	217.126	217.421	CONTINUER	예.	[18]	[39]	[13]
43	AH0001	225.46	225.735	CONTINUER	네.	[18]	[41]	[4]
44	AH0001	229.3	229.565	CONTINUER	음.	[18]	[41]	[9]
45	AH0001	233.247	233.732	AFFIRMATIVE	그러게요.	[18]	[42]	[9]
46	AH0001	237.677	238.102	CONTINUER	네.	[18]	[42]	[19]
47	AH0001	243.697	244.122	CONTINUER	네.	[18]	[43]	[10]
48	AH0001	247.947	249.867	CONTINUER	음. 네네네.	[18]	[44]	[9]
49	AH0001	260.474	261.034	UNDERSTANDING	아.	[20]	[47]	[13]
50	AH0001	266.467	266.742	CONTINUER	네.	[20]	[48]	[12]
51	AH0001	271.545	271.695	CONTINUER	예.	[20]	[49]	[8]
52	AH0001	275.62	275.94	CONTINUER	네.	[20]	[49]	[16]
53	AH0001	278.211	278.756	UNDERSTANDING	아.	[20]	[50]	[2]
54	AH0002	281.358	282.273	CONTINUER	예. 예.	[21]	[51]	[4]
55	AH0001	285.923	286.263	CONTINUER	음.	[22]	[52]	[6]
56	AH0001	292.383	292.728	CONTINUER	네.	[22]	[52]	[21]
57	AH0001	306.855	307.38	CONTINUER	네.	[22]	[54]	[11]
58	AH0001	311.831	312.551	CONTINUER	음.	[22]	[55]	[5]
59	AH0001	316.591	316.886	CONTINUER	예.	[22]	[56]	[4]
60	AH0001	330.929	331.259	CONTINUER	음.	[22]	[59]	[4]
