uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	1.164	1.867	여러분들께서	[]
1	1	2	AH0001	1.948	2.169	함께	[]
1	1	3	AH0001	2.189	2.229	하고	[]
1	1	4	AH0001	2.249	2.43	계신	[]
1	1	5	AH0001	2.49	2.872	방송은	[]
1	1	6	AH0001	3.173	3.595	@상호명91	[]
1	1	7	AH0001	3.716	3.876	에프엠	[]
1	1	8	AH0001	4.238	4.841	@이름201의	[]
1	1	9	AH0001	5.102	5.544	오천만의	[]
1	1	10	AH0001	5.584	6.247	변호인입니다.	[]
1	2	1	AH0001	6.607	7.11	가족이라는	[]
1	2	2	AH0001	7.151	7.473	울타리	[]
1	2	3	AH0001	7.493	7.734	안에서	[]
1	2	4	AH0001	7.775	8.217	벌어지는	[]
1	2	5	AH0001	8.379	8.66	모든	[]
1	2	6	AH0001	8.781	9.445	법률문제를	[]
1	2	7	AH0001	9.566	9.768	상담	[]
1	2	8	AH0001	9.808	10.291	해드립니다.	[]
2	3	1	AH0002	10.526	10.688	우리	[]
2	3	2	AH0002	10.749	11.054	가족	[]
2	3	3	AH0002	11.217	11.542	변호사.	[]
3	4	1	AH0001	11.911	12.051	네	[]
3	4	2	AH0001	12.111	12.252	우리	[]
3	4	3	AH0001	12.292	12.553	가족의	[]
3	4	4	AH0001	12.633	12.913	든든한	[]
3	4	5	AH0001	12.994	13.254	변호인	[]
3	4	6	AH0001	13.415	13.715	@이름5	[]
3	4	7	AH0001	13.796	14.116	변호사님	[]
3	4	8	AH0001	14.177	14.738	나오셨습니다	[]
3	4	9	AH0001	14.758	15.199	안녕하세요.	[]
4	5	1	AH0002	15.199	15.442	네	[]
4	5	2	AH0002	15.462	16.231	안녕하세요.	[]
5	6	1	AH0001	16.361	16.583	자	[]
5	6	2	AH0001	16.968	17.473	내일부터	[]
5	6	3	AH0001	17.574	17.675	설	[]
5	6	4	AH0001	17.716	18.181	연휴입니다.	[]
6	7	1	AH0002	18.399	18.419	또	[]
7	8	1	AH0001	19.508	19.771	원래	[]
7	8	2	AH0001	19.811	19.831	일	[]
7	8	3	AH0001	19.872	19.993	년에	[]
7	8	4	AH0001	20.074	20.135	두	[]
7	8	5	AH0001	20.175	20.337	번씩	[]
7	8	6	AH0001	20.377	20.458	하는	[]
7	8	7	AH0001	20.539	20.842	거예요.	[]
8	9	1	AH0002	20.841	21.363	그러니까요	[]
8	9	2	AH0002	21.624	21.885	진짜	[]
8	9	3	AH0002	21.925	22.085	많이	[]
8	9	4	AH0002	22.146	22.246	바뀌	[]
9	10	1	AH0001	22.631	22.912	인제	[]
9	10	2	AH0001	23.193	23.654	내일부터	[]
9	10	3	AH0001	23.694	23.714	설	[]
9	10	4	AH0001	23.855	24.176	연휴면	[]
9	10	5	AH0001	24.276	24.537	지금	[]
9	10	6	AH0001	24.938	24.998	사	[]
9	10	7	AH0001	25.058	25.118	일	[]
9	10	8	AH0001	25.199	25.479	정도	[]
9	10	9	AH0001	25.56	25.8	시간이	[]
9	10	10	AH0001	25.82	26.663	있잖아요.	[1]
9	11	1	AH0001	27.183	27.223	어	[]
9	11	2	AH0001	27.304	27.506	@이름5	[]
9	11	3	AH0001	27.546	27.909	변호사님	[]
9	11	4	AH0001	27.989	28.09	이	[]
9	11	5	AH0001	28.211	28.332	사흘	[]
9	11	6	AH0001	28.433	28.594	동안	[]
9	11	7	AH0001	28.695	29.159	뭐하실지	[]
9	11	8	AH0001	29.259	29.36	계획	[]
9	11	9	AH0001	29.441	29.501	같은	[]
9	11	10	AH0001	29.582	29.642	거	[]
9	11	11	AH0001	29.683	29.965	있으세요?	[]
10	12	1	AH0002	29.966	30.266	사실	[]
10	12	2	AH0002	30.807	31.268	지난	[]
10	12	3	AH0002	31.468	31.628	그	[]
10	12	4	AH0002	31.809	32.189	새해에	[]
10	12	5	AH0002	32.289	32.83	돌아왔을	[]
10	12	6	AH0002	32.93	32.95	때.	[2]
10	13	1	AH0002	33.554	34.077	그때도	[]
10	13	2	AH0002	34.56	35.324	휴가였거든요.	[3]
10	14	1	AH0002	35.618	35.879	근데	[]
10	14	2	AH0002	36.3	36.46	별로	[]
10	14	3	AH0002	36.52	36.621	갈	[]
10	14	4	AH0002	36.721	36.901	데도	[]
